,id,brandId,brandName,styleNumber,colorCount,colorDefaultId,colorSpriteUrl,colorsById,colorIds,enticementIds,enticements,isBeauty,isNordstromMade,isOutfit,isFeatured,isUmap,mediaById,name,priceCurrencyCode,priceCountryCode,pricesById,productPageUrl,reviewCount,reviewStarRating,storeAvailability,PAGE_URL_COMPLETE
0,2894832,4317,ROBERT BARAKETT,36349,4,blue night,https://n.nordstrommedia.com/swatchsprite.jpg?photos=18_102658338-10_102528150-5_104277685-9_102658409,"{'black': {'id': 'black', 'label': 'BLACK', 'spriteIndex': 1, 'mediaIds': ['10_102528150', '9_12790169', '1_12925101'], 'standardColors': ['Black'], 'swatchMediaId': '10_102528150'}, 'blue night': {'id': 'blue night', 'label': 'BLUE NIGHT', 'spriteIndex': 0, 'mediaIds': ['18_102658338', '3_101012803', '5_101012885'], 'standardColors': ['Blue', 'Green'], 'swatchMediaId': '18_102658338'}, 'iron': {'id': 'iron', 'label': 'IRON', 'spriteIndex': 2, 'mediaIds': ['5_104277685', '17_102658417', '19_12927339'], 'standardColors': ['Grey'], 'swatchMediaId': '5_104277685'}, 'white': {'id': 'white', 'label': 'WHITE', 'spriteIndex': 3, 'mediaIds': ['9_102658409', '8_102658408', '15_12926555'], 'standardColors': ['White'], 'swatchMediaId': '9_102658409'}}","['blue night', 'black', 'iron', 'white']",[],,False,False,False,False,False,"{'10_102528150': {'id': '10_102528150', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/10/_102528150.jpg'}, '15_12926555': {'id': '15_12926555', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/15/_12926555.jpg'}, '17_102658417': {'id': '17_102658417', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/17/_102658417.jpg'}, '18_102658338': {'id': '18_102658338', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/18/_102658338.jpg'}, '19_12927339': {'id': '19_12927339', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/19/_12927339.jpg'}, '1_12925101': {'id': '1_12925101', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/1/_12925101.jpg'}, '3_101012803': {'id': '3_101012803', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/3/_101012803.jpg'}, '5_101012885': {'id': '5_101012885', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/5/_101012885.jpg'}, '5_104277685': {'id': '5_104277685', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/5/_104277685.jpg'}, '8_102658408': {'id': '8_102658408', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/8/_102658408.jpg'}, '9_102658409': {'id': '9_102658409', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/9/_102658409.jpg'}, '9_12790169': {'id': '9_12790169', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/9/_12790169.jpg'}}",Robert Barakett Georgia Crewneck T-Shirt,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '59.50', 'maxItemPrice': '59.50', 'priceValidUntilDate': None}}",/s/robert-barakett-georgia-crewneck-t-shirt/2894832,427,4.8,,www.nordstrom.com/s/robert-barakett-georgia-crewneck-t-shirt/2894832
1,3609589,18070,COMME DES GARCONS PLAY,973975,1,white,https://n.nordstrommedia.com/swatchsprite.jpg?photos=3_8775443,"{'white': {'id': 'white', 'label': 'WHITE', 'spriteIndex': 0, 'mediaIds': ['3_8775443', '9_13160049', '19_13159939'], 'standardColors': ['White'], 'swatchMediaId': '3_8775443'}}",['white'],[],,False,False,False,False,False,"{'19_13159939': {'id': '19_13159939', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/19/_13159939.jpg'}, '3_8775443': {'id': '3_8775443', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/3/_8775443.jpg'}, '9_13160049': {'id': '9_13160049', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/9/_13160049.jpg'}}",Comme des Garçons PLAY Heart Face Graphic Tee,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '123.00', 'maxItemPrice': '123.00', 'priceValidUntilDate': None}}",/s/comme-des-garcons-play-heart-face-graphic-tee/3609589,4,4.3,,www.nordstrom.com/s/comme-des-garcons-play-heart-face-graphic-tee/3609589
2,3609674,18070,COMME DES GARCONS PLAY,974030,1,black 1,https://n.nordstrommedia.com/swatchsprite.jpg?photos=12_106058712,"{'black 1': {'id': 'black 1', 'label': 'BLACK 1', 'spriteIndex': 0, 'mediaIds': ['12_106058712', '10_106058710', '0_102520840'], 'standardColors': ['Black'], 'swatchMediaId': '12_106058712'}}",['black 1'],[],,False,False,False,False,False,"{'0_102520840': {'id': '0_102520840', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/0/_102520840.jpg'}, '10_106058710': {'id': '10_106058710', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/10/_106058710.jpg'}, '12_106058712': {'id': '12_106058712', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/12/_106058712.jpg'}}",Comme des Garçons PLAY Inverted Heart Logo Graphic Tee,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '118.00', 'maxItemPrice': '118.00', 'priceValidUntilDate': None}}",/s/comme-des-garcons-play-inverted-heart-logo-graphic-tee/3609674,14,4.6,,www.nordstrom.com/s/comme-des-garcons-play-inverted-heart-logo-graphic-tee/3609674
3,3609688,18070,COMME DES GARCONS PLAY,974044,2,black,https://n.nordstrommedia.com/swatchsprite.jpg?photos=0_8774580-2_102485422,"{'black': {'id': 'black', 'label': 'BLACK', 'spriteIndex': 0, 'mediaIds': ['0_8774580', '17_102485417', '11_102485551'], 'standardColors': ['Black'], 'swatchMediaId': '0_8774580'}, 'black 1': {'id': 'black 1', 'label': 'BLACK 1', 'spriteIndex': 1, 'mediaIds': ['2_102485422', '17_102485417', '11_102485551'], 'standardColors': ['Black'], 'swatchMediaId': '2_102485422'}}","['black', 'black 1']",[],,False,False,False,False,False,"{'0_8774580': {'id': '0_8774580', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/0/_8774580.jpg'}, '11_102485551': {'id': '11_102485551', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/11/_102485551.jpg'}, '17_102485417': {'id': '17_102485417', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/17/_102485417.jpg'}, '2_102485422': {'id': '2_102485422', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/2/_102485422.jpg'}}",Comme des Garçons PLAY X-Ray Heart Logo Graphic Tee,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '125.00', 'maxItemPrice': '125.00', 'priceValidUntilDate': None}}",/s/comme-des-garcons-play-x-ray-heart-logo-graphic-tee/3609688,28,4.5,,www.nordstrom.com/s/comme-des-garcons-play-x-ray-heart-logo-graphic-tee/3609688
4,3609713,18070,COMME DES GARCONS PLAY,974065,1,black/ white,https://n.nordstrommedia.com/swatchsprite.jpg?photos=19_8803999,"{'black/ white': {'id': 'black/ white', 'label': 'BLACK/ WHITE', 'spriteIndex': 0, 'mediaIds': ['19_8803999', '9_104214609', '12_8803872'], 'standardColors': ['Black'], 'swatchMediaId': '19_8803999'}}",['black/ white'],[],,False,False,False,False,False,"{'12_8803872': {'id': '12_8803872', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/12/_8803872.jpg'}, '19_8803999': {'id': '19_8803999', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/19/_8803999.jpg'}, '9_104214609': {'id': '9_104214609', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/9/_104214609.jpg'}}",Comme des Garçons PLAY Stripe Slim Fit Long Sleeve T-Shirt,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '166.00', 'maxItemPrice': '166.00', 'priceValidUntilDate': None}}",/s/comme-des-garcons-play-stripe-slim-fit-long-sleeve-t-shirt/3609713,5,5,,www.nordstrom.com/s/comme-des-garcons-play-stripe-slim-fit-long-sleeve-t-shirt/3609713
5,3807745,638,POLO RALPH LAUREN,795811,2,polo black,https://n.nordstrommedia.com/swatchsprite.jpg?photos=17_9909577-1_106744641,"{'cruise navy': {'id': 'cruise navy', 'label': 'CRUISE NAVY', 'spriteIndex': 1, 'mediaIds': ['1_106744641', '14_9897874', '0_9897940'], 'standardColors': ['Blue'], 'swatchMediaId': '1_106744641'}, 'polo black': {'id': 'polo black', 'label': 'POLO BLACK', 'spriteIndex': 0, 'mediaIds': ['17_9909577', '17_9909177', '0_9897940'], 'standardColors': ['Black'], 'swatchMediaId': '17_9909577'}}","['polo black', 'cruise navy']",[],,False,False,False,False,False,"{'0_9897940': {'id': '0_9897940', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/0/_9897940.jpg'}, '14_9897874': {'id': '14_9897874', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/14/_9897874.jpg'}, '17_9909177': {'id': '17_9909177', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/17/_9909177.jpg'}, '17_9909577': {'id': '17_9909577', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/17/_9909577.jpg'}, '1_106744641': {'id': '1_106744641', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/1/_106744641.jpg'}}",Polo Ralph Lauren Crewneck T-Shirt,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '32.00', 'maxItemPrice': '32.00', 'priceValidUntilDate': None}}",/s/polo-ralph-lauren-crewneck-t-shirt/3807745,39,4.7,,www.nordstrom.com/s/polo-ralph-lauren-crewneck-t-shirt/3807745
6,3997619,18070,COMME DES GARCONS PLAY,1034204,1,black,https://n.nordstrommedia.com/swatchsprite.jpg?photos=0_10620980,"{'black': {'id': 'black', 'label': 'BLACK', 'spriteIndex': 0, 'mediaIds': ['0_10620980', '0_13159800', '6_13159766'], 'standardColors': ['Black'], 'swatchMediaId': '0_10620980'}}",['black'],[],,False,False,False,False,False,"{'0_10620980': {'id': '0_10620980', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/0/_10620980.jpg'}, '0_13159800': {'id': '0_13159800', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/0/_13159800.jpg'}, '6_13159766': {'id': '6_13159766', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/6/_13159766.jpg'}}",Comme des Garçons PLAY Logo Slim Fit Graphic T-Shirt,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '103.00', 'maxItemPrice': '103.00', 'priceValidUntilDate': None}}",/s/comme-des-garcons-play-logo-slim-fit-graphic-t-shirt/3997619,18,4.7,,www.nordstrom.com/s/comme-des-garcons-play-logo-slim-fit-graphic-t-shirt/3997619
7,4009392,5111,CALVIN KLEIN,1089839,1,white,https://n.nordstrommedia.com/swatchsprite.jpg?photos=19_11075679,"{'white': {'id': 'white', 'label': 'WHITE', 'spriteIndex': 0, 'mediaIds': ['19_11075679', '4_11076124', '14_11076114'], 'standardColors': ['White'], 'swatchMediaId': '19_11075679'}}",['white'],[],,False,False,False,False,False,"{'14_11076114': {'id': '14_11076114', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/14/_11076114.jpg'}, '19_11075679': {'id': '19_11075679', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/19/_11075679.jpg'}, '4_11076124': {'id': '4_11076124', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/4/_11076124.jpg'}}",Calvin Klein 2-Pack Stretch Cotton T-Shirt,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '36.50', 'maxItemPrice': '36.50', 'priceValidUntilDate': None}}",/s/calvin-klein-2-pack-stretch-cotton-t-shirt/4009392,6,4.8,,www.nordstrom.com/s/calvin-klein-2-pack-stretch-cotton-t-shirt/4009392
8,4009419,5111,CALVIN KLEIN,1089862,1,white,https://n.nordstrommedia.com/swatchsprite.jpg?photos=0_11075680,"{'white': {'id': 'white', 'label': 'WHITE', 'spriteIndex': 0, 'mediaIds': ['0_11075680', '5_11076125', '19_11076119'], 'standardColors': ['White'], 'swatchMediaId': '0_11075680'}}",['white'],[],,False,False,False,False,False,"{'0_11075680': {'id': '0_11075680', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/0/_11075680.jpg'}, '19_11076119': {'id': '19_11076119', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/19/_11076119.jpg'}, '5_11076125': {'id': '5_11076125', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/5/_11076125.jpg'}}",Calvin Klein 2-Pack Stretch Cotton Crewneck T-Shirt,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '36.50', 'maxItemPrice': '36.50', 'priceValidUntilDate': None}}",/s/calvin-klein-2-pack-stretch-cotton-crewneck-t-shirt/4009419,34,4.8,,www.nordstrom.com/s/calvin-klein-2-pack-stretch-cotton-crewneck-t-shirt/4009419
9,4122444,535,NIKE,1194187,3,light game heather/black,https://n.nordstrommedia.com/swatchsprite.jpg?photos=12_106739292-2_101977902-17_103157397,"{'black/ black/ matte silver': {'id': 'black/ black/ matte silver', 'label': 'BLACK/ BLACK/ MATTE SILVER', 'spriteIndex': 1, 'mediaIds': ['2_101977902', '0_12471040', '6_101977886'], 'standardColors': ['Black'], 'swatchMediaId': '2_101977902'}, 'carbon heather/ black': {'id': 'carbon heather/ black', 'label': 'CARBON HEATHER/ BLACK', 'spriteIndex': 2, 'mediaIds': ['17_103157397', '10_12092750', '15_12092695'], 'standardColors': ['Grey'], 'swatchMediaId': '17_103157397'}, 'light game heather/black': {'id': 'light game heather/black', 'label': 'LIGHT GAME HEATHER/BLACK', 'spriteIndex': 0, 'mediaIds': ['12_106739292', '17_106739417', '12_104792292'], 'standardColors': ['Blue'], 'swatchMediaId': '12_106739292'}}","['light game heather/black', 'black/ black/ matte silver', 'carbon heather/ black']",[],,False,False,False,False,False,"{'0_12471040': {'id': '0_12471040', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/0/_12471040.jpg'}, '10_12092750': {'id': '10_12092750', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/10/_12092750.jpg'}, '12_104792292': {'id': '12_104792292', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/12/_104792292.jpg'}, '12_106739292': {'id': '12_106739292', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/12/_106739292.jpg'}, '15_12092695': {'id': '15_12092695', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/15/_12092695.jpg'}, '17_103157397': {'id': '17_103157397', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/17/_103157397.jpg'}, '17_106739417': {'id': '17_106739417', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/17/_106739417.jpg'}, '2_101977902': {'id': '2_101977902', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/2/_101977902.jpg'}, '6_101977886': {'id': '6_101977886', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/6/_101977886.jpg'}}",Nike Legend 2.0 Dri-FIT Training T-Shirt,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '25.00', 'maxItemPrice': '25.00', 'priceValidUntilDate': None}}",/s/nike-legend-2-0-dri-fit-training-t-shirt/4122444,161,4.5,,www.nordstrom.com/s/nike-legend-2-0-dri-fit-training-t-shirt/4122444
10,4143299,638,POLO RALPH LAUREN,5015550,1,black,https://n.nordstrommedia.com/swatchsprite.jpg?photos=8_11627168,"{'black': {'id': 'black', 'label': 'BLACK', 'spriteIndex': 0, 'mediaIds': ['8_11627168', '13_11627253', '9_11627249'], 'standardColors': ['Black'], 'swatchMediaId': '8_11627168'}}",['black'],[],,False,False,False,False,False,"{'13_11627253': {'id': '13_11627253', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/13/_11627253.jpg'}, '8_11627168': {'id': '8_11627168', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/8/_11627168.jpg'}, '9_11627249': {'id': '9_11627249', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/9/_11627249.jpg'}}",Polo Ralph Lauren Crewneck T-Shirt,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '26.00', 'maxItemPrice': '26.00', 'priceValidUntilDate': None}}",/s/polo-ralph-lauren-crewneck-t-shirt/4143299,5,3.8,,www.nordstrom.com/s/polo-ralph-lauren-crewneck-t-shirt/4143299
11,4143366,638,POLO RALPH LAUREN,5015780,2,cruise navy,https://n.nordstrommedia.com/swatchsprite.jpg?photos=9_13040829-19_11626559,"{'andover heather': {'id': 'andover heather', 'label': 'ANDOVER HEATHER', 'spriteIndex': 1, 'mediaIds': ['19_11626559', '3_11626583', '2_11626582'], 'standardColors': ['Grey'], 'swatchMediaId': '19_11626559'}, 'cruise navy': {'id': 'cruise navy', 'label': 'CRUISE NAVY', 'spriteIndex': 0, 'mediaIds': ['9_13040829', '7_13040827', '3_13040783'], 'standardColors': ['Blue'], 'swatchMediaId': '9_13040829'}}","['cruise navy', 'andover heather']",[],,False,False,False,False,False,"{'19_11626559': {'id': '19_11626559', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/19/_11626559.jpg'}, '2_11626582': {'id': '2_11626582', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/2/_11626582.jpg'}, '3_11626583': {'id': '3_11626583', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/3/_11626583.jpg'}, '3_13040783': {'id': '3_13040783', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/3/_13040783.jpg'}, '7_13040827': {'id': '7_13040827', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/7/_13040827.jpg'}, '9_13040829': {'id': '9_13040829', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/9/_13040829.jpg'}}",Polo Ralph Lauren Crewneck T-Shirt,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '26.00', 'maxItemPrice': '26.00', 'priceValidUntilDate': None}}",/s/polo-ralph-lauren-crewneck-t-shirt/4143366,8,4.3,,www.nordstrom.com/s/polo-ralph-lauren-crewneck-t-shirt/4143366
12,4174695,18070,COMME DES GARCONS PLAY,5040563,3,navy,https://n.nordstrommedia.com/swatchsprite.jpg?photos=19_107673679-2_104231382-13_104231313,"{'navy': {'id': 'navy', 'label': 'NAVY', 'spriteIndex': 0, 'mediaIds': ['19_107673679', '18_107675278', '1_107673681'], 'standardColors': ['Blue'], 'swatchMediaId': '19_107673679'}, 'top grey 3': {'id': 'top grey 3', 'label': 'TOP GREY 3', 'spriteIndex': 1, 'mediaIds': ['2_104231382', '14_11390614', '12_11390612'], 'standardColors': ['Grey'], 'swatchMediaId': '2_104231382'}, 'white': {'id': 'white', 'label': 'WHITE', 'spriteIndex': 2, 'mediaIds': ['13_104231313', '19_11367659', '14_11367654'], 'standardColors': ['White'], 'swatchMediaId': '13_104231313'}}","['navy', 'top grey 3', 'white']",['new'],,False,False,False,False,False,"{'12_11390612': {'id': '12_11390612', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/12/_11390612.jpg'}, '13_104231313': {'id': '13_104231313', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/13/_104231313.jpg'}, '14_11367654': {'id': '14_11367654', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/14/_11367654.jpg'}, '14_11390614': {'id': '14_11390614', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/14/_11390614.jpg'}, '18_107675278': {'id': '18_107675278', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/18/_107675278.jpg'}, '19_107673679': {'id': '19_107673679', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/19/_107673679.jpg'}, '19_11367659': {'id': '19_11367659', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/19/_11367659.jpg'}, '1_107673681': {'id': '1_107673681', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/1/_107673681.jpg'}, '2_104231382': {'id': '2_104231382', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/2/_104231382.jpg'}}",Comme des Garçons PLAY Crewneck T-Shirt,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '100.00', 'maxItemPrice': '100.00', 'priceValidUntilDate': None}}",/s/comme-des-garcons-play-crewneck-t-shirt/4174695,14,4.6,,www.nordstrom.com/s/comme-des-garcons-play-crewneck-t-shirt/4174695
13,4316766,18070,COMME DES GARCONS PLAY,5141101,1,black 1,https://n.nordstrommedia.com/swatchsprite.jpg?photos=10_102520710,"{'black 1': {'id': 'black 1', 'label': 'BLACK 1', 'spriteIndex': 0, 'mediaIds': ['10_102520710', '13_102520713', '5_102520725'], 'standardColors': ['Black'], 'swatchMediaId': '10_102520710'}}",['black 1'],[],,False,False,False,False,False,"{'10_102520710': {'id': '10_102520710', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/10/_102520710.jpg'}, '13_102520713': {'id': '13_102520713', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/13/_102520713.jpg'}, '5_102520725': {'id': '5_102520725', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/5/_102520725.jpg'}}",Comme des Garçons PLAY Cotton Jersey Crewneck T-Shirt,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '103.00', 'maxItemPrice': '103.00', 'priceValidUntilDate': None}}",/s/comme-des-garcons-play-cotton-jersey-crewneck-t-shirt/4316766,42,4.6,,www.nordstrom.com/s/comme-des-garcons-play-cotton-jersey-crewneck-t-shirt/4316766
